书名,页面地址,图片地址
 机器学习线性代数基础：Python语言描述,http://product.dangdang.com/27921482.html,http://img3m2.ddimg.cn/17/24/27921482-1_b_1.jpg
 Python与有限元--基于Python编程的有限元分析及应用扩展,http://product.dangdang.com/25216052.html,http://img3m2.ddimg.cn/59/34/25216052-1_b_3.jpg
 Python深度学习：基于TensorFlow,http://product.dangdang.com/25479613.html,http://img3m3.ddimg.cn/82/7/25479613-1_b_2.jpg
 Python文本分析,http://product.dangdang.com/25270163.html,http://img3m3.ddimg.cn/17/14/25270163-1_b_3.jpg
 Python数据分析从入门到精通,http://product.dangdang.com/28539609.html,http://img3m9.ddimg.cn/87/29/28539609-1_b_1.jpg
 教孩子学Python编程,http://product.dangdang.com/27949721.html,http://img3m1.ddimg.cn/41/32/27949721-1_b_3.jpg
 Python数据分析基础,http://product.dangdang.com/25161961.html,http://img3m1.ddimg.cn/22/0/25161961-1_b_3.jpg
 Python数据可视化：基于Bokeh的可视化绘图,http://product.dangdang.com/28492768.html,http://img3m8.ddimg.cn/73/30/28492768-1_b_3.jpg
 给Python点颜色 青少年学编程,http://product.dangdang.com/27918348.html,http://img3m8.ddimg.cn/51/35/27918348-1_b_18.jpg
 Python从菜鸟到高手,http://product.dangdang.com/25333314.html,http://img3m4.ddimg.cn/6/6/25333314-1_b_2.jpg
 Python大数据分析算法与实例,http://product.dangdang.com/28553126.html,http://img3m6.ddimg.cn/41/4/28553126-1_b_6.jpg
 趣学Python编程,http://product.dangdang.com/23426467.html,http://img3m7.ddimg.cn/97/28/23426467-1_b_1.jpg
 强化学习：原理与Python实现,http://product.dangdang.com/27907711.html,http://img3m1.ddimg.cn/7/17/27907711-1_b_6.jpg
 深入浅出Python机器学习,http://product.dangdang.com/25314043.html,http://img3m3.ddimg.cn/40/12/25314043-1_b_5.jpg
 Python编程快速上手 让繁琐工作自动化,http://product.dangdang.com/1900652264.html,http://img3m4.ddimg.cn/71/4/1900652264-1_b_2.jpg
 Python高级编程 第2版,http://product.dangdang.com/25163810.html,http://img3m0.ddimg.cn/89/36/25163810-1_b_1.jpg
 精通Python爬虫框架Scrapy,http://product.dangdang.com/25227022.html,http://img3m2.ddimg.cn/40/15/25227022-1_b_1.jpg
 Python安全实践――PythonHacking,http://product.dangdang.com/27931218.html,http://img3m8.ddimg.cn/51/29/27931218-1_b_3.jpg
 从零开始学Python,http://product.dangdang.com/28544304.html,http://img3m4.ddimg.cn/30/25/28544304-1_b_6.jpg
 用micro:bit学Python,http://product.dangdang.com/29141041.html,http://img3m1.ddimg.cn/94/26/29141041-1_b_2.jpg
 Python 深度学习实战：75个有关神经网络建模、强化学习与迁移学习的解决方案,http://product.dangdang.com/25299713.html,http://img3m3.ddimg.cn/65/1/25299713-1_b_1.jpg
 Python黑客攻防入门,http://product.dangdang.com/25219985.html,http://img3m5.ddimg.cn/32/8/25219985-1_b_1.jpg
 Python设计模式 第2版,http://product.dangdang.com/25113288.html,http://img3m8.ddimg.cn/57/19/25113288-1_b_2.jpg
 我跟爸爸学编程：从Python到C++,http://product.dangdang.com/28975037.html,http://img3m7.ddimg.cn/14/4/28975037-1_b_5.jpg
 Python程序设计与应用,http://product.dangdang.com/29139663.html,http://img3m3.ddimg.cn/3/17/29139663-1_b_2.jpg
 Python强化学习实战：应用OpenAI Gym和TensorFlow精通强化学习和深度强化学习,http://product.dangdang.com/26435983.html,http://img3m3.ddimg.cn/13/1/26435983-1_b_4.jpg
 Python程序员面试秘笈,http://product.dangdang.com/29115331.html,http://img3m1.ddimg.cn/25/31/29115331-1_b_2.jpg
 Python算法详解,http://product.dangdang.com/27880576.html,http://img3m6.ddimg.cn/97/3/27880576-1_b_12.jpg
 Python数据预处理技术与实践,http://product.dangdang.com/28486435.html,http://img3m5.ddimg.cn/76/24/28486435-1_b_3.jpg
 Python机器学习及实践---- 从零开始通往Kaggle竞赛之路,http://product.dangdang.com/24043260.html,http://img3m0.ddimg.cn/21/31/24043260-1_b_5.jpg
 零基础轻松学Python：青少年趣味编程（全彩版）,http://product.dangdang.com/28487240.html,http://img3m0.ddimg.cn/89/15/28487240-1_b_3.jpg
 Python编程基础及应用,http://product.dangdang.com/29122563.html,http://img3m3.ddimg.cn/30/11/29122563-1_b_2.jpg
 基于Python语言的Selenium自动化测试,http://product.dangdang.com/28510823.html,http://img3m3.ddimg.cn/11/29/28510823-1_b_2.jpg
 父与子的编程之旅：与爸爸一起学Python,http://product.dangdang.com/28486681.html,http://img3m1.ddimg.cn/25/11/28486681-1_b_4.jpg
 基于Python的金融分析,http://product.dangdang.com/29116555.html,http://img3m5.ddimg.cn/61/34/29116555-1_b_3.jpg
 Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现,http://product.dangdang.com/25107201.html,http://img3m1.ddimg.cn/9/0/25107201-1_b_3.jpg
 青少年学Python 第1册（全彩印刷）,http://product.dangdang.com/28552730.html,http://img3m0.ddimg.cn/41/15/28552730-1_b_6.jpg
 Python大数据与机器学习实战,http://product.dangdang.com/28532827.html,http://img3m7.ddimg.cn/37/18/28532827-1_b_5.jpg
 创新创业+新工科教学质量研究――零基础学会Python人工智能,http://product.dangdang.com/29125141.html,http://img3m1.ddimg.cn/34/36/29125141-1_b_3.jpg
 Python人工智能,http://product.dangdang.com/28541651.html,http://img3m1.ddimg.cn/50/36/28541651-1_b_4.jpg
 Python计算思维与问题求解,http://product.dangdang.com/29132335.html,http://img3m5.ddimg.cn/1/15/29132335-1_b_2.jpg
 Python人工智能项目实战,http://product.dangdang.com/28477055.html,http://img3m5.ddimg.cn/2/5/28477055-1_b_3.jpg
 Python设计模式,http://product.dangdang.com/26315940.html,http://img3m0.ddimg.cn/57/23/26315940-1_b_5.jpg
 Python Docker实战,http://product.dangdang.com/27890372.html,http://img3m2.ddimg.cn/92/31/27890372-1_b_1.jpg
 Python入门到人工智能实战,http://product.dangdang.com/28538961.html,http://img3m1.ddimg.cn/33/10/28538961-1_b_1.jpg
 从零开始学Python数据分析与挖掘（第2版）,http://product.dangdang.com/28551660.html,http://img3m0.ddimg.cn/60/18/28551660-1_b_4.jpg
 Python 3.6从入门到精通（视频教学版）,http://product.dangdang.com/25572687.html,http://img3m7.ddimg.cn/96/26/25572687-1_b_4.jpg
 Python模块参考手册・日期与时间（全彩版）,http://product.dangdang.com/28990241.html,http://img3m1.ddimg.cn/71/1/28990241-1_b_6.jpg
 Python课程设计-微课视频版,http://product.dangdang.com/29117891.html,http://img3m1.ddimg.cn/11/1/29117891-1_b_3.jpg
 树莓派趣学实战100例――网络应用+Python编程+传感器+服务器搭建,http://product.dangdang.com/28970302.html,http://img3m2.ddimg.cn/31/5/28970302-1_b_6.jpg
 Python 3网络爬虫实战,http://product.dangdang.com/28996684.html,http://img3m4.ddimg.cn/79/6/28996684-1_b_3.jpg
 Python接口自动化测试,http://product.dangdang.com/27873146.html,http://img3m6.ddimg.cn/92/10/27873146-1_b_3.jpg
 Python基础教程 赫特兰 人民邮电出版社,http://product.dangdang.com/1652179853.html,http://img3m3.ddimg.cn/38/20/1652179853-1_b_1.jpg
 Python Flask Web开发入门与项目实战,http://product.dangdang.com/27903760.html,http://img3m0.ddimg.cn/16/25/27903760-1_b_2.jpg
 Python元学习 通用人工智能的实现,http://product.dangdang.com/28982765.html,http://img3m5.ddimg.cn/20/36/28982765-1_b_6.jpg
 Python计算与编程实践 多媒体方法 第4版,http://product.dangdang.com/28528813.html,http://img3m3.ddimg.cn/82/0/28528813-1_b_5.jpg
 算法―Python语言实现,http://product.dangdang.com/29116672.html,http://img3m2.ddimg.cn/79/3/29116672-1_b_3.jpg
 Python金融分析入门到实战:基于Python的金融分析与风险管理+Python金融实战案例精粹（套装2册）,http://product.dangdang.com/410275239.html,http://img3m9.ddimg.cn/33/36/410275239-1_b_3.jpg
 Python微控制器编程从零开始 使用MicroPython,http://product.dangdang.com/25330163.html,http://img3m3.ddimg.cn/23/0/25330163-1_b_4.jpg
 Python语言在Abaqus中的应用,http://product.dangdang.com/22479069.html,http://img3m9.ddimg.cn/30/15/22479069-1_b_1.jpg
 Python程序员面试算法宝典,http://product.dangdang.com/25351230.html,http://img3m0.ddimg.cn/3/14/25351230-1_b_2.jpg
 Python+TensorFlow机器学习实战,http://product.dangdang.com/27886292.html,http://img3m2.ddimg.cn/71/21/27886292-1_b_1.jpg
 Python网络编程 第3版,http://product.dangdang.com/24034842.html,http://img3m2.ddimg.cn/18/12/24034842-1_b_5.jpg
 Python数据处理与挖掘,http://product.dangdang.com/28995574.html,http://img3m4.ddimg.cn/58/6/28995574-1_b_2.jpg
 Python Linux系统管理与自动化运维,http://product.dangdang.com/25164632.html,http://img3m2.ddimg.cn/20/7/25164632-1_b_3.jpg
 Python数字信号处理应用,http://product.dangdang.com/25232652.html,http://img3m2.ddimg.cn/27/21/25232652-1_b_3.jpg
 从零开始学Python数据分析（视频教学版）,http://product.dangdang.com/25329248.html,http://img3m8.ddimg.cn/98/10/25329248-1_b_2.jpg
 Python数据可视化,http://product.dangdang.com/28558338.html,http://img3m8.ddimg.cn/6/36/28558338-1_b_6.jpg
 Python Web开发从入门到精通,http://product.dangdang.com/29128606.html,http://img3m6.ddimg.cn/34/23/29128606-1_b_1.jpg
 Python 3破冰人工智能 从入门到实战,http://product.dangdang.com/27852496.html,http://img3m6.ddimg.cn/34/6/27852496-1_b_19.jpg
 Python自动化运维：技术与最佳实践,http://product.dangdang.com/23593858.html,http://img3m8.ddimg.cn/79/31/23593858-1_b_1.jpg
 Python数据分析与应用,http://product.dangdang.com/25249785.html,http://img3m5.ddimg.cn/33/23/25249785-1_b_3.jpg
 Python编程从入门到精通 计算机电脑编程入门自学零基础书籍网络爬虫 pathon编程从入门到实践python基础教程,http://product.dangdang.com/1728204004.html,http://img3m4.ddimg.cn/10/12/1728204004-1_b_1.jpg
 Python程序设计,http://product.dangdang.com/29130010.html,http://img3m0.ddimg.cn/52/21/29130010-1_b_3.jpg
 Python数据分析实战 第2版,http://product.dangdang.com/28490262.html,http://img3m2.ddimg.cn/42/3/28490262-1_b_4.jpg
 Python常用算法手册,http://product.dangdang.com/29118860.html,http://img3m0.ddimg.cn/89/8/29118860-1_b_3.jpg
 青少年Python编程入门――图解Python,http://product.dangdang.com/29133865.html,http://img3m5.ddimg.cn/46/28/29133865-1_b_3.jpg
 Python3网络爬虫开发实战 项目开发教程书籍 分布式视频爬虫录音爬虫编写 数据爬取技术 pyspider Scrap,http://product.dangdang.com/1195294669.html,http://img3m9.ddimg.cn/52/12/1195294669-1_b_2.jpg
 Python全栈开发三剑客（套装共3册）,http://product.dangdang.com/410275264.html,http://img3m4.ddimg.cn/58/24/410275264-1_b_6.jpg
 父与子的编程之旅：与小卡特一起学Python,http://product.dangdang.com/23598327.html,http://img3m7.ddimg.cn/93/23/23598327-1_b_1.jpg
 Python生物信息学数据管理,http://product.dangdang.com/24172474.html,http://img3m4.ddimg.cn/40/4/24172474-1_b_5.jpg
 Python程序设计基础（第2版）,http://product.dangdang.com/25238171.html,http://img3m1.ddimg.cn/2/27/25238171-1_b_3.jpg
 Selenium3自动化测试实战――基于Python语言,http://product.dangdang.com/27895220.html,http://img3m0.ddimg.cn/89/32/27895220-1_b_2.jpg
 Python自动化测试实战,http://product.dangdang.com/27856966.html,http://img3m6.ddimg.cn/49/36/27856966-1_b_3.jpg
 Python从入门到项目实践（超值版）,http://product.dangdang.com/28477915.html,http://img3m5.ddimg.cn/70/14/28477915-1_b_3.jpg
 量化交易之路 用Python做股票量化分析,http://product.dangdang.com/25159105.html,http://img3m5.ddimg.cn/37/30/25159105-1_b_4.jpg
 Python数据整理,http://product.dangdang.com/28970087.html,http://img3m7.ddimg.cn/14/12/28970087-1_b_3.jpg
 图解机器学习：算法原理与Python语言实现,http://product.dangdang.com/29140853.html,http://img3m3.ddimg.cn/5/23/29140853-1_b_3.jpg
 Python数据挖掘入门与实践 第2版,http://product.dangdang.com/28529103.html,http://img3m3.ddimg.cn/75/31/28529103-1_b_6.jpg
 Python 新手学Django 2.0架站的16堂课（第2版）,http://product.dangdang.com/27851580.html,http://img3m0.ddimg.cn/9/15/27851580-1_b_3.jpg
 Python语言程序设计实验指导与习题,http://product.dangdang.com/28988854.html,http://img3m4.ddimg.cn/70/20/28988854-1_b_0.jpg
 超简单：用Python让Excel飞起来,http://product.dangdang.com/1901227827.html,http://img3m7.ddimg.cn/48/32/1901227827-1_b_1.jpg
 Python量化炒期货入门与实战技巧,http://product.dangdang.com/28988798.html,http://img3m8.ddimg.cn/14/1/28988798-1_b_3.jpg
 趣学Python――教孩子学编程,http://product.dangdang.com/23648843.html,http://img3m3.ddimg.cn/20/34/23648843-1_b_1.jpg
 Python大数据基础与实战,http://product.dangdang.com/27924345.html,http://img3m5.ddimg.cn/9/1/27924345-1_b_3.jpg
 Python学习黄金组合套装（套装共3册）,http://product.dangdang.com/410275265.html,http://img3m5.ddimg.cn/59/25/410275265-1_b_6.jpg
 数据科学实战入门 使用Python和R,http://product.dangdang.com/29001885.html,http://img3m5.ddimg.cn/33/27/29001885-1_b_3.jpg
 数据结构教程（Python语言描述),http://product.dangdang.com/29142477.html,http://img3m7.ddimg.cn/45/19/29142477-1_b_5.jpg
 Python机器学习核心算法编程实例,http://product.dangdang.com/28520543.html,http://img3m3.ddimg.cn/29/18/28520543-1_b_5.jpg
 编程真好玩：青少年学Python一本通,http://product.dangdang.com/28558381.html,http://img3m1.ddimg.cn/49/5/28558381-1_b_6.jpg
 青少年学Python,http://product.dangdang.com/25297440.html,http://img3m0.ddimg.cn/69/22/25297440-1_b_6.jpg
 Python可以这样学,http://product.dangdang.com/1639274761.html,http://img3m1.ddimg.cn/91/10/1639274761-1_b_1.jpg
 Python数据分析基础教程：NumPy学习指南(第2版),http://product.dangdang.com/23399185.html,http://img3m5.ddimg.cn/40/15/23399185-1_b_3.jpg
 Python深度学习实战：基于TensorFlow和Keras的聊天机器人以及人脸、物体和语音识别,http://product.dangdang.com/27857147.html,http://img3m7.ddimg.cn/32/32/27857147-1_b_1.jpg
 利用Python进行数据分析9787111436737Wes McKinney 著；唐学韬 机械工业出版社9787111,http://product.dangdang.com/1631983306.html,http://img3m6.ddimg.cn/85/34/1631983306-1_b_1.jpg
 包邮 Python安全攻防：渗透测试实战指南|8074828,http://product.dangdang.com/1752948655.html,http://img3m5.ddimg.cn/7/25/1752948655-1_b_1.jpg
 Python 3.6零基础入门与实战,http://product.dangdang.com/25342576.html,http://img3m6.ddimg.cn/61/18/25342576-1_b_4.jpg
 Python高效开发实战――Django、Tornado、Flask、Twisted（第2版）,http://product.dangdang.com/26438448.html,http://img3m8.ddimg.cn/3/24/26438448-1_b_3.jpg
 Python算法指南――程序员经典算法分析与实现,http://product.dangdang.com/27941769.html,http://img3m9.ddimg.cn/9/35/27941769-1_b_3.jpg
 Python零基础快乐学习之旅（K12实战训练）,http://product.dangdang.com/27941820.html,http://img3m0.ddimg.cn/60/12/27941820-1_b_3.jpg
 Python程序设计,http://product.dangdang.com/26910157.html,http://img3m7.ddimg.cn/76/20/26910157-1_b_3.jpg
 Python 3.5从零开始学,http://product.dangdang.com/25123327.html,http://img3m7.ddimg.cn/97/31/25123327-1_b_3.jpg
 Python核心编程实践,http://product.dangdang.com/28530815.html,http://img3m5.ddimg.cn/5/4/28530815-1_b_6.jpg
 Python金融实战,http://product.dangdang.com/25107103.html,http://img3m3.ddimg.cn/10/13/25107103-1_b_2.jpg
 零基础轻松学Python,http://product.dangdang.com/27876895.html,http://img3m5.ddimg.cn/79/22/27876895-1_b_4.jpg
 Python语言及其应用,http://product.dangdang.com/23818124.html,http://img3m4.ddimg.cn/11/3/23818124-1_b_2.jpg
 Python 3 数据分析与机器学习实战,http://product.dangdang.com/25325809.html,http://img3m9.ddimg.cn/25/12/25325809-1_b_4.jpg
 Python基础与深度学习实战,http://product.dangdang.com/29000676.html,http://img3m6.ddimg.cn/12/2/29000676-1_b_3.jpg
 Python 3 程序设计,http://product.dangdang.com/26909455.html,http://img3m5.ddimg.cn/67/21/26909455-1_b_1.jpg
 计算机科学概论 Python版,http://product.dangdang.com/28555040.html,http://img3m0.ddimg.cn/74/31/28555040-1_b_4.jpg
 Python程序设计与案例教程,http://product.dangdang.com/26510672.html,http://img3m2.ddimg.cn/56/24/26510672-1_b_2.jpg
 Python语言程序设计,http://product.dangdang.com/23956641.html,http://img3m1.ddimg.cn/27/29/23956641-1_b_9.jpg
 Python编程与几何图形,http://product.dangdang.com/28527241.html,http://img3m1.ddimg.cn/94/19/28527241-1_b_5.jpg
 Python地理数据处理,http://product.dangdang.com/25097337.html,http://img3m7.ddimg.cn/45/15/25097337-1_b_3.jpg
 Python趣味编程与精彩实例,http://product.dangdang.com/28512724.html,http://img3m4.ddimg.cn/31/6/28512724-1_b_2.jpg
 大数据的Python基础,http://product.dangdang.com/27874753.html,http://img3m3.ddimg.cn/16/26/27874753-1_b_1.jpg
 Python语言程序设计基础 第2版 Python嵩天 教育部大学计算机课程改革项目规划教材 教材 专科教材 工学 Py,http://product.dangdang.com/1609477227.html,http://img3m7.ddimg.cn/72/19/1609477227-1_b_1.jpg
 Python――统计人的视角(统计数据分析与应用丛书),http://product.dangdang.com/25231173.html,http://img3m3.ddimg.cn/33/22/25231173-1_b_5.jpg
 Python3智能数据分析快速入门,http://product.dangdang.com/27895033.html,http://img3m3.ddimg.cn/1/30/27895033-1_b_2.jpg
 包邮 [套装书]Python学习手册（原书第5版）+Python 3标准库（2册|8067181,http://product.dangdang.com/1571659345.html,http://img3m5.ddimg.cn/91/22/1571659345-1_b_1.jpg
 Python金融数据挖掘,http://product.dangdang.com/29123911.html,http://img3m1.ddimg.cn/91/27/29123911-1_b_3.jpg
 Python与数据挖掘,http://product.dangdang.com/24144182.html,http://img3m2.ddimg.cn/62/17/24144182-1_b_5.jpg
 Python机器学习实践指南,http://product.dangdang.com/25066760.html,http://img3m0.ddimg.cn/59/0/25066760-1_b_3.jpg
 Python 3自动化软件发布系统 -Django 2实战,http://product.dangdang.com/28495378.html,http://img3m8.ddimg.cn/10/13/28495378-1_b_3.jpg
 笨办法学Python 3 进阶篇 视频教学 笨方法学Python核心编程流畅的Python 编程进阶,http://product.dangdang.com/1614816445.html,http://img3m5.ddimg.cn/22/26/1614816445-1_b_1.jpg
 Python数据分析入门――从数据获取到可视化,http://product.dangdang.com/25247679.html,http://img3m9.ddimg.cn/6/26/25247679-1_b_3.jpg
 Python应用编程丛书:解析Python网络爬虫：核心技术、Scrapy框架、分布式爬虫,http://product.dangdang.com/25343952.html,http://img3m2.ddimg.cn/51/25/25343952-1_b_1.jpg
 Python编程从0到1（视频教学版）,http://product.dangdang.com/27928867.html,http://img3m7.ddimg.cn/76/9/27928867-1_b_5.jpg
 Python编程基础教程,http://product.dangdang.com/28543675.html,http://img3m5.ddimg.cn/94/25/28543675-1_b_1.jpg
 Python编程指南――语法基础、网络爬虫、数据可视化与项目实战,http://product.dangdang.com/27943495.html,http://img3m5.ddimg.cn/52/22/27943495-1_b_3.jpg
 Python大数据基础,http://product.dangdang.com/28972089.html,http://img3m9.ddimg.cn/36/16/28972089-1_b_3.jpg
 Python带我起飞――入门、进阶、商业实战（python入门级，小白快速上手）,http://product.dangdang.com/25296509.html,http://img3m9.ddimg.cn/29/16/25296509-1_b_5.jpg
 Python数据可视化,http://product.dangdang.com/24247975.html,http://img3m5.ddimg.cn/4/25/24247975-1_b_3.jpg
 Python编程：从入门到精通（微课版）,http://product.dangdang.com/29124880.html,http://img3m0.ddimg.cn/70/34/29124880-1_b_2.jpg
 Python机器学习 预测分析核心算法,http://product.dangdang.com/24159761.html,http://img3m1.ddimg.cn/98/19/24159761-1_b_2.jpg
 Python基础教程,http://product.dangdang.com/27893254.html,http://img3m4.ddimg.cn/4/27/27893254-1_b_1.jpg
